"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Number of infant deaths","SH.DTH.IMRT","","106030","106493","107043","107713","108234","108861","109463","110153","110770","111254","111735","112222","112308","112282","111867","110990","109577","107569","104957","101886","98230","94323","90209","86226","82501","79239","76624","74692","73491","73119","73508","74452","75908","77651","79544","81418","83202","84778","86075","86983","87494","87540","87181","86465","85294","83745","81722","79355","76760","74020","71211","68570","66112","63937","62032","60333","58744",
"Angola","AGO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","66478","67820","69187","70786","72480","74430","76429","78490","80504","82574","84624","86610","88550","90370","91997","93479","94653","95530","96089","96379","96346","95971","95253","93986","92430","90346","87956","85249","82217","79220","76226","73448","70939","68913","67337","65993","65045",
"Albania","ALB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","4934","4619","4340","4105","3897","3715","3539","3374","3216","3062","2906","2752","2592","2429","2265","2094","1924","1754","1587","1427","1278","1137","1010","895","792","700","619","550","492","445","407","375","351","331","314","301","289","279","270",
"Andorra","AND","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5","5","5","5","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2",
"Arab World","ARB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458289","446730","435170","423691","412213","400917","390124","379984","370577","361936","354193","347274","341056","335629","330897","326848","323415","320197","317302","314910","312946","311208","309437","306656","303107","298658","293645","288028",
"United Arab Emirates","ARE","Number of infant deaths","SH.DTH.IMRT","","606","612","618","625","631","636","640","646","652","662","676","694","715","740","765","789","810","827","839","845","844","840","832","821","806","787","765","740","714","688","660","632","606","581","558","539","524","513","507","506","510","520","535","551","568","586","602","617","628","636","642","649","659","672","687","698","700",
"Argentina","ARG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","31832","32297","32817","33284","33562","33485","32868","31601","29835","27802","25759","23842","22123","20691","19524","18648","18104","17910","17945","18032","18028","17850","17439","16852","16181","15498","14831","14203","13626","13110","12647","12221","11820","11448","11110","10816","10570","10371","10185","9963","9672","9324","8928","8503","8076","7662","7279","6934",
"Armenia","ARM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","4489","4464","4442","4417","4384","4346","4296","4233","4143","4023","3869","3990","3455","3207","2933","2646","2358","2081","1825","1600","1413","1260","1141","1054","993","951","920","892","867","839","810","777","742","704","664","623","582","543","506","470","436",
"American Samoa","ASM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","44","40","37","34","32","30","28","27","26","25","25","24","24","23","22","21","20","19","18","17","16","15","15","14","13","12","11","11","10","10","9","9",
"Australia","AUS","Number of infant deaths","SH.DTH.IMRT","4597","4542","4481","4419","4368","4337","4336","4360","4400","4433","4431","4367","4231","4026","3768","3483","3199","2942","2731","2569","2454","2378","2330","2299","2272","2241","2199","2147","2083","2008","1921","1824","1726","1634","1551","1480","1422","1373","1331","1296","1268","1249","1241","1246","1258","1269","1273","1269","1254","1230","1194","1151","1106","1065","1027","992","960","930",
"Austria","AUT","Number of infant deaths","SH.DTH.IMRT","4750","4545","4342","4145","3957","3777","3598","3421","3256","3110","2967","2807","2617","2391","2135","1882","1664","1493","1365","1274","1209","1154","1101","1047","992","935","877","821","773","738","709","680","643","600","553","506","464","430","404","385","371","359","348","337","326","314","304","297","291","285","280","273","266","260","255","252","250","248",
"Azerbaijan","AZE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","14721","14978","15196","15375","15515","15579","15579","15519","15376","15100","14666","14066","13289","12403","11437","10442","9498","8647","7906","7279","6764","6346","6015","5768","5591","5451","5348","5237","5102","4917","4689","4426","4122","3801","3480",
"Burundi","BDI","Number of infant deaths","SH.DTH.IMRT","","","","","","20522","21070","21609","22070","22516","22903","23306","23762","24292","24930","25622","26268","26750","27007","27012","26769","26432","26015","25584","25271","25179","25374","25796","26445","27180","27887","28454","28832","28960","28850","28531","28078","27510","26877","26266","25732","25293","24984","24759","24537","24267","23937","23534","23068","22576","22090","21596","21071","20582","20085","19683","19343","19045",
"Belgium","BEL","Number of infant deaths","SH.DTH.IMRT","4653","4467","4290","4120","3932","3742","3555","3377","3212","3051","2872","2701","2515","2336","2154","2002","1859","1735","1630","1543","1461","1393","1328","1265","1213","1170","1129","1089","1061","1023","996","958","917","865","810","745","689","643","608","575","553","534","518","503","499","487","483","480","475","468","461","452","442","433","423","414","405","397",
"Benin","BEN","Number of infant deaths","SH.DTH.IMRT","19785","19914","19997","20024","20003","19984","20000","20073","20229","20430","20660","20901","21088","21213","21270","21261","21207","21183","21219","21358","21565","21840","22136","22421","22698","22962","23211","23451","23661","23819","23945","24024","24073","24131","24216","24365","24587","24835","25028","25162","25199","25154","25051","24920","24813","24755","24793","24901","25086","25313","25560","25785","25948","26014","25993","25886","25744","25561",
"Burkina Faso","BFA","Number of infant deaths","SH.DTH.IMRT","34275","34374","34516","34700","34944","35252","35618","36025","36437","36860","37301","37694","38013","38168","38148","37930","37671","37416","37237","37197","37297","37484","37727","37963","38177","38358","38535","38739","39075","39609","40333","41240","42267","43313","44268","45103","45823","46435","46977","47493","47937","48305","48545","48582","48339","47811","47047","46094","45028","43928","42798","41710","40640","39676","38858","38207","37627","37187",
"Bangladesh","BGD","Number of infant deaths","SH.DTH.IMRT","391678","394311","397572","401126","405311","410197","415659","421679","427997","434633","441136","447438","452889","457379","460865","462954","464186","464562","464022","462707","460576","457731","453547","447918","440389","431607","421229","409346","396306","382445","368050","353152","338209","323470","308935","294828","281214","268002","255170","242780","230663","218815","207281","195945","184889","173970","163354","153069","143395","134276","125861","118144","111001","104421","98293","92525","87197","82240",
"Bulgaria","BGR","Number of infant deaths","SH.DTH.IMRT","","","","","4260","4192","4133","4071","3983","3853","3707","3590","3521","3479","3438","3380","3289","3159","2998","2819","2637","2468","2320","2182","2047","1919","1803","1707","1635","1593","1566","1526","1465","1390","1313","1239","1171","1110","1051","994","940","897","862","831","798","764","734","709","687","666","642","613","578","541","505","472","443","416",
"Bahrain","BHR","Number of infant deaths","SH.DTH.IMRT","958","911","864","815","763","709","655","602","550","503","460","424","393","367","347","332","321","314","308","304","300","297","294","292","289","287","285","284","283","283","281","276","267","254","236","218","200","184","172","163","157","155","154","154","154","154","153","151","148","145","142","140","139","139","139","139","138","136",
