Data Source	World Development Indicators																																																											
																																																												
Last Updated Date	18-09-17																																																											
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Aruba	ABW	Population growth (annual %)	SP.POP.GROW	3.148036836	2.238143931	1.409621865	0.832452558	0.592649039	0.573468248	0.616990878	0.587373201	0.568529799	0.580642385	0.57221119	0.636272958	0.670693326	0.671204938	0.471968484	0.212897716	-0.117120177	-0.363781075	-0.436627544	-0.204858378	0.193211026	0.780690671	1.276347795	1.385740854	1.015708085	0.301918203	-0.607943306	-1.303070407	-1.226909428	-0.076979146	1.813641093	3.902018236	5.44027196	6.068410306	5.625997562	4.616674713	3.517889233	2.669576442	2.114385656	1.960557913	2.055026783	2.22593013	2.229056047	2.109354335	1.757352867	1.30203884	0.797562763	0.384060021	0.131310707	0.09861642	0.212680144	0.376984768	0.512144989	0.592914005	0.587492389	0.524658159	0.459929192
Afghanistan	AFG	Population growth (annual %)	SP.POP.GROW	1.816076521	1.876528345	1.934998636	1.992521144	2.049423115	2.105368751	2.12958837	2.146727199	2.20933108	2.330919024	2.472265945	2.587996397	2.628656871	2.576016675	2.412656524	2.157653279	1.966302036	1.754255498	1.294024825	0.519590421	-0.439276603	-1.478344961	-2.35876483	-2.867273337	-2.800548252	-2.216315406	-1.556722266	-0.850774196	0.330911435	2.030397862	3.925342136	5.900770747	7.325447198	7.665433431	6.895568875	5.572581069	4.143162853	3.086718672	2.590485449	2.820724187	3.494658738	4.251504112	4.720528462	4.81804112	4.468918396	3.870470159	3.228629843	2.755225384	2.512573879	2.569114319	2.812616959	3.095118615	3.272702921	3.315224131	3.183201455	2.943234185	2.689163473
Angola	AGO	Population growth (annual %)	SP.POP.GROW	1.903516708	1.927753879	1.94577398	1.930692856	1.870295531	1.788799403	1.70179785	1.653899283	1.681743004	1.805262181	1.993491314	2.20224682	2.390126174	2.548368958	2.662495032	2.746672805	2.804667251	2.869348735	2.970558217	3.119058543	3.282658763	3.462434068	3.587308156	3.581514794	3.422185616	3.176703342	2.898427281	2.68525918	2.601738605	2.684418494	2.868721394	3.090290365	3.251617847	3.302193683	3.212362381	3.043198279	2.855266546	2.732314542	2.715382344	2.83255925	3.032943415	3.245491389	3.411515287	3.526302765	3.573961974	3.575899698	3.566159892	3.564538633	3.563447842	3.566820983	3.570098638	3.570352438	3.55949601	3.531824191	3.485412535	3.42802067	3.367572131
Albania	ALB	Population growth (annual %)	SP.POP.GROW	3.015423059	3.120855371	3.056730503	2.953748762	2.880686426	2.754021238	2.63456388	2.630190345	2.84251071	2.896083388	2.550851178	2.422972017	2.494973107	2.362552224	2.297214176	2.30115381	2.208235255	2.213252179	2.075741895	1.98945702	2.047963861	2.002974306	2.113271783	2.120885334	2.103936618	2.055994609	1.933220811	1.997039956	1.886710529	2.687861989	1.799085593	-0.602809679	-0.606434726	-0.610165793	-0.613880507	-0.617703658	-0.621511399	-0.625430097	-0.629334393	-0.633352274	-0.637356834	-0.938470428	-0.299876697	-0.374149169	-0.417931378	-0.511790116	-0.630911245	-0.755718755	-0.767342959	-0.673894046	-0.496461963	-0.269017332	-0.16515104	-0.183211385	-0.207047	-0.291205787	-0.159880412
Andorra	AND	Population growth (annual %)	SP.POP.GROW	7.050663422	6.941532095	6.692697087	6.559521703	6.241510694	5.998799772	5.750877566	5.500705964	5.309819699	5.198286928	5.147542716	5.150129714	5.083933949	4.862724177	4.461191336	3.935750805	3.431724988	3.08012203	2.905117997	3.153933651	3.524382541	3.896261313	4.213952619	4.384243224	4.401653418	4.339443344	4.208397815	4.081769501	4.003001862	3.915665175	3.854362309	3.88967904	3.837471871	3.476100654	2.759621289	1.854202829	0.795573965	-0.051287233	-0.288007423	0.35483105	1.572165551	2.939992206	3.942573353	4.375449193	4.098923478	3.382416554	2.657514798	2.067598124	1.414664768	0.714106277	-0.015392722	-0.829969093	-1.588653118	-2.013314011	-1.956177894	-1.537836294	-0.944016798
Arab World	ARB	Population growth (annual %)	SP.POP.GROW		2.760881467	2.775328486	2.793527761	2.817244982	2.842976352	2.87789531	2.907920677	2.911949416	2.884139213	2.841480641	2.785204483	2.75179002	2.78027259	2.885177211	3.033383505	3.187286909	3.303239145	3.364129261	3.356514373	3.302524991	3.236451509	3.179229468	3.125242436	3.079532723	3.037962813	2.991804353	2.937702213	2.879939783	2.818486307	3.666284999	2.711820547	1.822689168	2.658690862	2.548774765	3.068972643	2.279652786	2.197338187	2.123255897	2.103961624	2.111485977	2.12038835	2.130829875	2.164651603	2.224451766	2.297403411	2.374130067	2.433966567	2.463920532	2.448201037	2.402393182	2.352527472	2.305072627	2.248844291	2.185196861	2.118210404	2.045600939
United Arab Emirates	ARE	Population growth (annual %)	SP.POP.GROW	5.859583938	8.723625113	10.68118058	11.0127215	9.824817324	8.196603003	6.512983548	5.928620335	7.308394177	10.66915508	14.44694158	16.88167057	17.68981365	17.69529624	17.12561475	16.2118734	15.45088384	14.53011912	13.03346084	11.07130594	9.065862578	7.262153653	5.943894702	5.201767878	5.08894812	5.358225438	5.670981175	5.837586462	5.916789644	5.874911415	5.760704935	5.73767089	5.750789694	5.626297989	5.348654254	5.030211588	4.869643145	4.895276938	4.989519304	5.150781292	5.430624125	5.281527797	5.304712049	6.477493321	8.84369185	11.35643863	13.51058491	14.23679203	13.16146625	10.61544388	7.587098323	4.743700298	2.594795714	1.181804989	0.714762521	0.915608331	1.251759052
Argentina	ARG	Population growth (annual %)	SP.POP.GROW	1.630874493	1.606889087	1.584308648	1.55753194	1.524220625	1.489543666	1.449535314	1.420525624	1.424792243	1.471027661	1.543025015	1.627611823	1.694914171	1.72192469	1.695423436	1.633982982	1.561298496	1.50469564	1.474189282	1.480289629	1.510517384	1.5445383	1.56639889	1.576631635	1.570258654	1.551619351	1.529797634	1.509198642	1.486178218	1.461314598	1.434566316	1.408255222	1.379945379	1.345135953	1.302491994	1.255747946	1.206777525	1.162864394	1.131105611	1.115335769	1.110875305	1.111141909	1.10897136	1.10241509	1.088607526	1.070434278	1.050528096	1.034432919	1.025899718	1.02737729	1.035037143	1.044859862	1.050376222	1.047276747	1.032709282	1.00985496	0.984741906
Armenia	ARM	Population growth (annual %)	SP.POP.GROW	3.596386208	3.531701867	3.444263878	3.330247481	3.19372718	3.044919344	2.884532314	2.734336375	2.616712427	2.540604343	2.491713697	2.450496398	2.397049588	2.323204314	2.222480572	2.105132868	1.98603744	1.878711222	1.785098708	1.709918886	1.647368075	1.547476935	1.43791806	1.396354937	1.440847686	1.520523803	1.674218689	1.744178445	1.515397226	0.903782824	0.047945944	-0.934610126	-1.79741315	-2.342542542	-2.390391903	-2.040310112	-1.538721502	-1.114987649	-0.781897581	-0.634656819	-0.630956668	-0.618702898	-0.550838989	-0.531785447	-0.571380944	-0.647057335	-0.766331138	-0.863750024	-0.850367271	-0.677479353	-0.391023921	-0.060143665	0.220269188	0.401251977	0.438331527	0.368528212	0.269302288
American Samoa	ASM	Population growth (annual %)	SP.POP.GROW	1.403902596	2.335966362	3.033667728	3.558597776	3.661243382	3.557430815	3.348905164	3.216491858	3.01585571	2.777374277	2.515622583	2.26063822	2.042334496	1.8155126	1.620492881	1.494474129	1.291239954	1.206374244	1.33678416	1.819245714	2.445155344	3.14203254	3.649772686	4.011934689	4.138820587	4.038037717	3.986641463	3.873837955	3.693033288	3.449695033	3.120158971	2.802736567	2.486654339	2.247061539	2.112775252	2.035017825	1.987012573	1.859151555	1.732238691	1.542574809	1.314208134	1.130561067	0.951198727	0.655083464	0.248350792	-0.246659246	-0.794787147	-1.281837839	-1.519175154	-1.418037659	-1.054862102	-0.571394076	-0.162822288	0.139319888	0.234775807	0.180222443	0.111575019
